English,Hindi,French,German,Tamil
"Hello, how are you today?","नमस्ते, आप आज कैसे हैं?","Bonjour, comment ça va aujourd'hui?","Hallo, wie geht es dir heute?","வணக்கம், இன்று எப்படி இருக்கிறீர்கள்?"
The quick brown fox jumps over the lazy dog.,तेज़ भूरा लोमड़ी सुस्त कुत्ते के ऊपर कूदती है।,Le rapide renard brun saute par-dessus le chien paresseux.,Der schnelle braune Fuchs springt über den faulen Hund.,வேகமான பழுப்பு நரி மெதுவான நாயை தாண்டுகிறது.
Artificial intelligence is transforming the world.,कृत्रिम बुद्धिमत्ता दुनिया को बदल रही है।,L'intelligence artificielle transforme le monde.,Künstliche Intelligenz verändert die Welt.,கற்பனை அறிவு உலகத்தை மாற்றுகிறது.
OpenAI creates powerful AI models.,ओपनएआई शक्तिशाली एआई मॉडल बनाता है।,OpenAI crée des modèles d'IA puissants.,OpenAI erstellt leistungsstarke KI-Modelle.,ஓபன்ஏஐ சக்திவாய்ந்த AI மாதிரிகளை உருவாக்குகிறது.
Python programming is fun and versatile.,पायथन प्रोग्रामिंग मजेदार और बहुमुखी है।,La programmation Python est amusante et polyvalente.,Python-Programmierung macht Spaß und ist vielseitig.,பைதான் நிரலாக்கம் ரசிப்பதற்கும் பலவிதமாக இருக்கிறது.
This is a sample sentence for testing.,यह परीक्षण के लिए एक नमूना वाक्य है।,Ceci est une phrase exemple pour les tests.,Dies ist ein Beispielsatz zum Testen.,இது சோதனைக்கான மாதிரி வாக்கியம்.
I love listening to music on a rainy day.,मुझे बारिश वाले दिन संगीत सुनना पसंद है।,J'adore écouter de la musique un jour de pluie.,Ich höre an einem regnerischen Tag gerne Musik.,மழைக்காலத்தில் இசை கேட்க நான் விரும்புகிறேன்.
Can you help me translate this text?,क्या आप मेरी इस पाठ का अनुवाद करने में मदद कर सकते हैं?,Pouvez-vous m'aider à traduire ce texte?,"Können Sie mir helfen, diesen Text zu übersetzen?",இந்த உரையை மொழிபெயர்க்க நீங்கள் எனக்கு உதவ முடியுமா?
Natural language processing is fascinating.,प्राकृतिक भाषा प्रसंस्करण आकर्षक है।,Le traitement du langage naturel est fascinant.,Die Verarbeitung natürlicher Sprache ist faszinierend.,இயற்கை மொழி செயலாக்கம் அதிர்ஷ்டமானது.
The weather is nice and sunny today.,आज मौसम अच्छा और धूप वाला है।,Le temps est beau et ensoleillé aujourd'hui.,Das Wetter ist heute schön und sonnig.,இன்று வானிலை நல்லது மற்றும் வெயிலோடு இருக்கிறது.
She sells seashells by the seashore.,वह समुद्र के किनारे सीपियां बेचती है।,Elle vend des coquillages au bord de la mer.,Sie verkauft Muscheln am Meer.,அவள் கடற்கரையில் சிப்பிகள் விற்பனை செய்கிறாள்.
The cat sat on the mat.,बिल्ली चटाई पर बैठी।,Le chat s'est assis sur le tapis.,Die Katze saß auf der Matte.,பூனை பாய் மீது உட்கார்ந்தது.
Learning new things keeps the mind sharp.,नई चीजें सीखना मन को तेज रखता है।,Apprendre de nouvelles choses garde l'esprit vif.,Neue Dinge zu lernen hält den Geist scharf.,புதிய விஷயங்களை கற்றுக்கொள்வது மனதை கூர்மையாக வைக்கிறது.
Let's build something amazing with code.,आइए कोड के साथ कुछ अद्भुत बनाएं।,Construisons quelque chose d'incroyable avec du code.,Lasst uns etwas Erstaunliches mit Code bauen.,குறியீட்டுடன் ஒரு அற்புதமானதை உருவாக்குவோம்.
This audio file is generated from text.,यह ऑडियो फ़ाइल टेक्स्ट से बनाई गई है।,Ce fichier audio est généré à partir du texte.,Diese Audiodatei wird aus Text generiert.,இந்த ஆடியோ கோப்பு உரையிலிருந்து உருவாக்கப்பட்டது.
Technology advances rapidly every year.,प्रौद्योगिकी हर साल तेजी से बढ़ती है।,La technologie progresse rapidement chaque année.,Technologie entwickelt sich jedes Jahr schnell weiter.,தொழில்நுட்பம் ஆண்டுதோறும் வேகமாக முன்னேறுகிறது.
Data science involves statistics and programming.,डेटा साइंस में सांख्यिकी और प्रोग्रामिंग शामिल हैं।,La science des données implique des statistiques et de la programmation.,Datenwissenschaft beinhaltet Statistik und Programmierung.,தரவு அறிவியல் புள்ளிவிவரங்கள் மற்றும் நிரலாக்கத்தை உள்ளடக்கியது.
Machine learning models improve with data.,मशीन लर्निंग मॉडल डेटा के साथ बेहतर होते हैं।,Les modèles d'apprentissage automatique s'améliorent avec les données.,Maschinelle Lernmodelle verbessern sich mit Daten.,யந்திரக் கற்றல் மாதிரிகள் தரவுடன் மேம்படுகின்றன.
Please speak clearly into the microphone.,कृपया माइक्रोफोन में स्पष्ट रूप से बोलें।,Veuillez parler clairement dans le microphone.,Bitte sprechen Sie deutlich in das Mikrofon.,தயவுசெய்து மைக்ரோபோனில் தெளிவாக பேசவும்.
Thank you for using this text to speech converter.,इस टेक्स्ट से स्पीच कन्वर्टर का उपयोग करने के लिए धन्यवाद।,Merci d'utiliser ce convertisseur texte en parole.,"Danke, dass Sie diesen Text-zu-Sprache-Konverter verwenden.",இந்த உரையை மொழி மாற்றி பயன்படுத்தியதற்கு நன்றி.
